,loan_amnt,emp_length,home_ownership,inq_last_6mths,revol_bal,age,tag
268309,6400.0,0.0,1.0,1.0,899.0,22.0,0.0
301093,10700.0,10.0,1.0,0.0,29411.0,19.0,0.0
1379211,15000.0,10.0,1.0,2.0,9911.0,48.0,0.0
486795,15000.0,10.0,1.0,2.0,15883.0,35.0,0.0
1481134,22775.0,3.0,1.0,0.0,17008.0,39.0,0.0
183118,9000.0,10.0,1.0,0.0,20984.0,35.0,1.0
182885,27050.0,0.0,1.0,1.0,10165.0,38.0,1.0
364836,14000.0,10.0,0.0,3.0,8684.0,28.0,0.0
480005,15000.0,10.0,1.0,1.0,12273.0,44.0,0.0
512108,6000.0,7.0,1.0,0.0,10276.0,39.0,0.0
545341,10000.0,2.0,1.0,0.0,9354.0,21.0,1.0
1344643,6200.0,2.0,1.0,0.0,50997.0,45.0,1.0
39154,26000.0,10.0,0.0,0.0,36772.0,36.0,1.0
158029,20000.0,0.0,0.0,0.0,9492.0,18.0,0.0
59458,18150.0,1.0,0.0,2.0,5390.0,19.0,0.0
488008,16000.0,10.0,1.0,0.0,3604.0,41.0,0.0
43409,33000.0,10.0,0.0,1.0,72812.0,26.0,0.0
1560544,30000.0,1.0,1.0,0.0,7376.0,34.0,0.0
109813,9000.0,0.0,1.0,4.0,2334.0,29.0,0.0
65401,28000.0,6.0,0.0,0.0,31069.0,27.0,0.0
61410,10000.0,7.0,1.0,1.0,5209.0,36.0,0.0
836886,24000.0,2.0,1.0,2.0,26609.0,30.0,0.0
247324,3500.0,7.0,0.0,0.0,4365.0,27.0,0.0
1030318,9100.0,10.0,0.0,0.0,6549.0,28.0,0.0
80454,3825.0,10.0,1.0,1.0,37417.0,30.0,0.0
619566,18500.0,10.0,1.0,0.0,18889.0,23.0,0.0
79484,14400.0,10.0,1.0,0.0,10051.0,25.0,1.0
1317875,20000.0,0.0,1.0,0.0,15809.0,26.0,0.0
462415,16200.0,10.0,1.0,1.0,15005.0,43.0,0.0
1376325,34050.0,10.0,1.0,0.0,22616.0,24.0,0.0
822233,13500.0,1.0,0.0,1.0,10887.0,29.0,1.0
913042,20300.0,10.0,1.0,3.0,13223.0,32.0,0.0
869986,8250.0,2.0,1.0,3.0,3427.0,38.0,0.0
1545798,4200.0,10.0,0.0,0.0,9112.0,19.0,0.0
273257,4800.0,3.0,0.0,1.0,2368.0,20.0,0.0
944050,5000.0,1.0,1.0,2.0,8968.0,34.0,1.0
588687,8000.0,1.0,0.0,3.0,4098.0,19.0,0.0
